Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Irving, Kyrie",PG,73.1,"$9,000",bkn,min,home, 126-127,38:10,   50pt 8rb 7as 1bl 7trey 17-33fg 9-10ft,50,8,7,0,1,0,7
"Mitchell, Donovan",SG,52.9,"$8,400",uta,okc,home, 100-95,36:24,   32pt 12rb 3as 1st 1to 1trey 14-22fg 3-4ft,32,12,3,1,0,1,1
"Doncic, Luka",PG,49.3,"$9,900",dal,was,home, 108-100,33:31,   34pt 9rb 3as 2st 6to 4trey 12-19fg 6-8ft,34,9,3,2,0,6,4
"Lillard, Damian",PG,48.8,"$9,500",por,den,home, 100-108,37:49,   32pt 4rb 8as 1st 3to 3trey 10-21fg 9-10ft,32,4,8,1,0,3,3
"Beal, Bradley",SG,46.7,"$9,800",was,dal,away, 100-108,31:45,   19pt 6rb 9as 3st 2to 1trey 7-25fg 4-6ft,19,6,9,3,0,2,1
"Brogdon, Malcolm",PG,43.1,"$6,500",ind,det,home, 110-119,35:51,   22pt 3rb 11as 1bl 2to 2trey 5-13fg 10-11ft,22,3,11,0,1,2,2
"Simmons, Ben",PG,43.1,"$9,600",phi,bos,home, 107-93,34:59,   24pt 8rb 9as 4to 11-16fg 2-5ft,24,8,9,0,0,4,0
"Rubio, Ricky",PG,42.7,"$6,900",pho,sac,home, 124-95,29:41,   11pt 6rb 11as 4st 4to 4-12fg 3-4ft,11,6,11,4,0,4,0
"Murray, Dejounte",PG,41.6,"$6,400",sas,nyk,home, 120-111,23:47,   18pt 8rb 6as 3st 4to 1trey 7-10fg 3-3ft,18,8,6,3,0,4,1
"Payton, Elfrid",PG,40.4,"$4,900",nyk,sas,away, 111-120,26:03,   11pt 2rb 8as 5st 1trey 4-9fg 2-2ft,11,2,8,5,0,0,1
"Booker, Devin",SG,39.4,"$9,000",pho,sac,home, 124-95,32:18,   22pt 2rb 10as 1st 3to 2trey 10-17fg 0-1ft,22,2,10,1,0,3,2
"Graham, Devonte'",PG,38.8,"$3,500",cha,chi,home, 126-125,27:19,   23pt 4rb 8as 1to 6trey 7-9fg 3-3ft,23,4,8,0,0,1,6
"Paul, Chris",PG,38.1,"$8,200",okc,uta,away, 95-100,30:07,   22pt 8rb 3as 1st 1to 4trey 7-15fg 4-4ft,22,8,3,1,0,1,4
"LaVine, Zach",SG,37.7,"$8,000",chi,cha,away, 125-126,30:00,   16pt 6rb 7as 2st 1bl 5to 1trey 7-17fg 1-1ft,16,6,7,2,1,5,1
"Bacon, Dwayne",SG,36.5,"$3,600",cha,chi,home, 126-125,33:06,   22pt 5rb 3as 2st 2to 2trey 8-21fg 4-6ft,22,5,3,2,0,2,2
"LeVert, Caris",SG,36,"$6,400",bkn,min,home, 126-127,37:18,   20pt 5rb 4as 3st 5to 1trey 9-19fg 1-4ft,20,5,4,3,0,5,1
"Nunn, Kendrick",PG,35.9,"$3,500",mia,mem,home, 120-101,26:31,   24pt 2rb 3as 2st 1to 1trey 10-18fg 3-3ft,24,2,3,2,0,1,1
"Richardson, Josh",SG,34.2,"$6,200",phi,bos,home, 107-93,33:06,   17pt 6rb 2as 1st 2bl 2to 4-12fg 9-9ft,17,6,2,1,2,2,0
"Barrett, RJ",SG,33,"$6,000",nyk,sas,away, 111-120,37:07,   21pt 5rb 2as 2st 3to 1trey 9-13fg 2-4ft,21,5,2,2,0,3,1
"Dragic, Goran",PG,32.1,"$5,800",mia,mem,home, 120-101,25:07,   19pt 3rb 3as 1st 2bl 4to 2trey 4-9fg 9-10ft,19,3,3,1,2,4,2
"Hield, Buddy",SG,32,"$7,000",sac,pho,away, 95-124,31:10,   28pt 5rb 2as 5to 6trey 10-19fg 2-2ft,28,5,2,0,0,5,6
"Gilgeous-Alexander, Shai",PG,31.9,"$6,400",okc,uta,away, 95-100,36:46,   26pt 2rb 1as 1st 1to 3trey 10-23fg 3-6ft,26,2,1,1,0,1,3
"Jones, Tyus",PG,30.7,"$4,100",mem,mia,away, 101-120,24:03,   15pt 1rb 7as 2st 2to 6-12fg 3-5ft,15,1,7,2,0,2,0
"Herro, Tyler",SG,30.1,"$3,600",mia,mem,home, 120-101,33:54,   14pt 8rb 1as 2st 1to 1trey 6-14fg 1-1ft,14,8,1,2,0,1,1
"White, Coby",PG,30.1,"$4,200",chi,cha,away, 125-126,27:09,   17pt 3rb 7as 1to 1trey 6-13fg 4-5ft,17,3,7,0,0,1,1
"Murray, Jamal",PG,30,"$7,100",den,por,away, 108-100,33:47,   14pt 5rb 6as 1st 2to 3trey 4-14fg 3-4ft,14,5,6,1,0,2,3
"Rose, Derrick",SG,29.9,"$4,800",det,ind,away, 119-110,26:35,   18pt 2rb 9as 4to 6-11fg 6-7ft,18,2,9,0,0,4,0
"Wiggins, Andrew",SG,29.6,"$6,500",min,bkn,away, 127-126,36:13,   21pt 8rb 1to 10-27fg 1-2ft,21,8,0,0,0,1,0
"Fournier, Evan",SG,28.6,"$5,700",orl,cle,home, 94-85,28:06,   16pt 3rb 4as 1st 1bl 3to 2trey 7-13fg 0-2ft,16,3,4,1,1,3,2
"Dunn, Kris",PG,28.4,"$5,100",chi,cha,away, 125-126,23:50,   11pt 2rb 2as 4st 5-7fg 1-2ft,11,2,2,4,0,0,0
"Forbes, Bryn",PG,27.5,"$3,500",sas,nyk,home, 120-111,32:31,   20pt 5rb 1as 3trey 7-12fg 3-3ft,20,5,1,0,0,0,3
"Craig, Torrey",SG,25.2,"$3,500",den,por,away, 108-100,16:02,   10pt 6rb 2as 1st 1bl 1to 2trey 4-6fg,10,6,2,1,1,1,2
"Graham, Treveon",SG,25.2,"$3,500",min,bkn,away, 127-126,34:35,   9pt 6rb 4as 1st 4-13fg 1-1ft,9,6,4,1,0,0,0
"Mudiay, Emmanuel",PG,24.9,"$3,500",uta,okc,home, 100-95,22:59,   12pt 2rb 5as 1bl 6-11fg,12,2,5,0,1,0,0
"Morant, Ja",PG,24.8,"$7,500",mem,mia,away, 101-120,25:09,   14pt 4rb 4as 1st 1bl 6to 6-12fg 2-4ft,14,4,4,1,1,6,0
"Fultz, Markelle",PG,24,"$4,700",orl,cle,home, 94-85,23:26,   12pt 6as 2st 3to 6-12fg,12,0,6,2,0,3,0
"Teague, Jeff",PG,23.6,"$6,300",min,bkn,away, 127-126,34:34,   14pt 3rb 4as 1st 3to 5-8fg 4-4ft,14,3,4,1,0,3,0
"DeRozan, DeMar",SG,22.8,"$8,200",sas,nyk,home, 120-111,31:38,   13pt 4rb 4as 1bl 4to 3-10fg 7-11ft,13,4,4,0,1,4,0
"Johnson, Tyler",PG,22.4,"$3,700",pho,sac,home, 124-95,16:38,   10pt 2rb 2as 2st 1bl 2to 2trey 4-8fg,10,2,2,2,1,2,2
"Okogie, Josh",SG,22.1,"$4,100",min,bkn,away, 127-126,14:26,   11pt 3rb 3as 1st 1trey 2-5fg 6-8ft,11,3,3,1,0,0,1
"McRae, Jordan",SG,20.5,"$3,500",was,dal,away, 100-108,23:08,   11pt 5rb 3as 1to 1trey 4-9fg 2-2ft,11,5,3,0,0,1,1
"Lamb, Jeremy",SG,20.3,"$5,800",ind,det,home, 110-119,25:52,   10pt 4rb 3as 1st 2to 4-11fg 2-3ft,10,4,3,1,0,2,0
"Brunson, Jalen",PG,20.3,"$3,700",dal,was,home, 108-100,24:20,   9pt 4rb 3as 2st 4to 1trey 3-10fg 2-4ft,9,4,3,2,0,4,1
"Joseph, Cory",PG,20.2,"$3,900",sac,pho,away, 95-124,20:53,   10pt 1rb 4as 1st 1bl 3to 3-6fg 4-4ft,10,1,4,1,1,3,0
"Augustin, D.J.",PG,20.1,"$4,800",orl,cle,home, 94-85,24:34,   9pt 3rb 5as 1trey 4-9fg,9,3,5,0,0,0,1
"Ross, Terrence",SG,19.8,"$5,100",orl,cle,home, 94-85,19:28,   10pt 4rb 2st 1to 2trey 4-13fg,10,4,0,2,0,1,2
"Smart, Marcus",SG,19.8,"$4,800",bos,phi,away, 93-107,33:01,   4pt 4rb 8as 1to 2-7fg,4,4,8,0,0,1,0
"Carter, Jevon",PG,18.7,"$3,500",pho,sac,home, 124-95,18:19,   11pt 1rb 3as 1bl 1to 3trey 4-7fg,11,1,3,0,1,1,3
"Brooks, Dillon",SG,18.5,"$3,900",mem,mia,away, 101-120,18:10,   7pt 5rb 1as 1st 1bl 2to 1trey 3-7fg,7,5,1,1,1,2,1
"Sexton, Collin",PG,18.4,"$6,100",cle,orl,away, 85-94,29:54,   16pt 2rb 2as 3to 3trey 5-15fg 3-4ft,16,2,2,0,0,3,3
"Brown, Jaylen",SG,18.4,"$5,700",bos,phi,away, 93-107,20:52,   8pt 7rb 1st 1to 1trey 3-6fg 1-3ft,8,7,0,1,0,1,1
"Sumner, Edmond",PG,18.2,"$3,500",ind,det,home, 110-119,21:53,   6pt 1rb 2as 3st 1to 3-6fg,6,1,2,3,0,1,0
"McCollum, C.J.",SG,18.1,"$7,400",por,den,home, 100-108,35:50,   12pt 3rb 3as 1st 5to 2trey 5-18fg,12,3,3,1,0,5,2
"Chiozza, Chris",PG,18.1,"$3,500",was,dal,away, 100-108,19:29,   6pt 3rb 3as 1st 1bl 2to 2trey 2-5fg,6,3,3,1,1,2,2
"Garland, Darius",PG,17.9,"$4,900",cle,orl,away, 85-94,31:32,   8pt 2rb 5as 1st 3to 2trey 3-9fg,8,2,5,1,0,3,2
"Smith, Ishmael",PG,17.6,"$4,700",was,dal,away, 100-108,24:15,   7pt 3rb 4as 1bl 2to 1trey 3-9fg,7,3,4,0,1,2,1
"Mills, Patty",PG,17.4,"$3,600",sas,nyk,home, 120-111,16:08,   8pt 2rb 2as 2st 2to 2trey 3-11fg,8,2,2,2,0,2,2
"Wright, Delon",SG,17.3,"$5,600",dal,was,home, 108-100,21:28,   5pt 4rb 3as 1st 1trey 1-2fg 2-2ft,5,4,3,1,0,0,1
"Rozier, Terry",PG,16.8,"$7,000",cha,chi,home, 126-125,30:24,   7pt 4rb 6as 4to 2trey 2-10fg 1-1ft,7,4,6,0,0,4,2
"Napier, Shabazz",PG,15.7,"$3,500",min,bkn,away, 127-126,20:59,   5pt 1rb 7as 1to 1-7fg 3-5ft,5,1,7,0,0,1,0
"Diallo, Hamidou",SG,15.6,"$3,500",okc,uta,away, 95-100,23:00,   12pt 3rb 1st 3to 5-8fg 2-4ft,12,3,0,1,0,3,0
"Dinwiddie, Spencer",PG,15.6,"$5,400",bkn,min,home, 126-127,18:33,   14pt 3rb 2as 5to 1trey 6-13fg 1-2ft,14,3,2,0,0,5,1
"Anderson, Kyle",SG,15.6,"$5,200",mem,mia,away, 101-120,20:50,   4pt 8rb 1st 1to 2-4fg,4,8,0,1,0,1,0
"Brown, Bruce",SG,14.8,"$3,500",det,ind,away, 119-110,28:49,   7pt 4rb 4as 3to 3-6fg 1-2ft,7,4,4,0,0,3,0
"Clarkson, Jordan",SG,14.4,"$5,100",cle,orl,away, 85-94,18:19,   7pt 2rb 2st 1to 2-12fg 3-3ft,7,2,0,2,0,1,0
"Walker, Kemba",PG,14.4,"$8,700",bos,phi,away, 93-107,34:15,   12pt 2rb 2as 3to 1trey 4-18fg 3-4ft,12,2,2,0,0,3,1
"Snell, Tony",SG,14.4,"$3,500",det,ind,away, 119-110,31:53,   10pt 2rb 2as 1to 2trey 4-7fg,10,2,2,0,0,1,2
"Schroder, Dennis",SG,14.2,"$5,300",okc,uta,away, 95-100,30:40,   3pt 6rb 4as 2to 1trey 1-8fg,3,6,4,0,0,2,1
"McConnell, T.J.",PG,14.1,"$3,500",ind,det,home, 110-119,13:25,   4pt 3rb 3as 1bl 1to 2-4fg,4,3,3,0,1,1,0
"Arcidiacono, Ryan",PG,14.1,"$3,500",chi,cha,away, 125-126,10:56,   6pt 3rb 1as 1st 2trey 2-3fg,6,3,1,1,0,0,2
"White, Derrick",PG,13.9,"$6,000",sas,nyk,home, 120-111,22:10,   9pt 2rb 3as 2to 3-6fg 3-5ft,9,2,3,0,0,2,0
"Dellavedova, Matthew",PG,13.7,"$3,500",cle,orl,away, 85-94,18:06,   5pt 1rb 3as 1st 2-6fg 1-2ft,5,1,3,1,0,0,0
"Conley, Mike",PG,13.5,"$7,800",uta,okc,home, 100-95,26:43,   5pt 5as 1st 2to 1-16fg 3-4ft,5,0,5,1,0,2,0
"Galloway, Langston",SG,12.8,"$3,500",det,ind,away, 119-110,20:01,   5pt 4rb 1st 1bl 3to 1trey 2-4fg,5,4,0,1,1,3,1
"Jackson, Reggie",PG,12.7,"$5,700",det,ind,away, 119-110,20:21,   5pt 1rb 5as 1to 1trey 2-3fg,5,1,5,0,0,1,1
"Harris, Gary",SG,12.6,"$5,500",den,por,away, 108-100,35:14,   8pt 3rb 2st 5to 1trey 3-11fg 1-1ft,8,3,0,2,0,5,1
"Curry, Seth",PG,12.1,"$4,000",dal,was,home, 108-100,19:39,   9pt 3rb 1as 2to 1trey 3-6fg 2-2ft,9,3,1,0,0,2,1
"Fox, De'Aaron",PG,11.7,"$8,600",sac,pho,away, 95-124,26:33,   8pt 1rb 5as 5to 3-7fg 2-4ft,8,1,5,0,0,5,0
"Guduric, Marko",SG,11.4,"$3,500",mem,mia,away, 101-120,24:06,   9pt 2rb 2as 3to 4-8fg 1-1ft,9,2,2,0,0,3,0
"Monk, Malik",SG,10.7,"$4,100",cha,chi,home, 126-125,16:41,   7pt 1rb 3as 2to 1trey 3-4fg,7,1,3,0,0,2,1
"Morris, Monte",PG,10.7,"$4,200",den,por,away, 108-100,14:11,   6pt 1rb 3as 1to 2-6fg 2-2ft,6,1,3,0,0,1,0
"Simons, Anfernee",PG,10,"$3,500",por,den,home, 100-108,12:16,   5pt 2st 1to 2-7fg 1-2ft,5,0,0,2,0,1,0
"Beasley, Malik",SG,9.7,"$3,600",den,por,away, 108-100,13:23,   6pt 1rb 1as 1st 2to 2trey 2-6fg,6,1,1,1,0,2,2
"Satoransky, Tomas",PG,9.5,"$5,000",chi,cha,away, 125-126,24:22,   2pt 3as 1bl 1-5fg,2,0,3,0,1,0,0
"Temple, Garrett",SG,9,"$3,500",bkn,min,home, 126-127,17:02,   4pt 2st 1to 2-6fg,4,0,0,2,0,1,0
"Korkmaz, Furkan",SG,7.8,"$3,500",phi,bos,home, 107-93,19:02,   3pt 4rb 1trey 1-2fg,3,4,0,0,0,0,1
"Carter-Williams, Michael",PG,7.6,"$3,600",orl,cle,home, 94-85,14:28,   2pt 3rb 1st 1to 1-2fg,2,3,0,1,0,1,0
"Allen, Grayson",SG,7.2,"$3,500",mem,mia,away, 101-120,20:48,   5pt 1rb 2as 2to 1trey 2-6fg,5,1,2,0,0,2,1
"Ellington, Wayne",SG,6.7,"$3,500",nyk,sas,away, 111-120,12:56,   3pt 1rb 1as 1bl 2to 1trey 1-4fg,3,1,1,0,1,2,1
"Nwaba, David",SG,6.6,"$3,500",bkn,min,home, 126-127,13:05,   1pt 3rb 1bl 1to 1-2ft,1,3,0,0,1,1,0
"Bogdanovic, Bogdan",SG,6.4,"$5,400",sac,pho,away, 95-124,22:04,   2pt 2rb 2as 1to 1-10fg,2,2,2,0,0,1,0
"Holiday, Aaron",PG,6.2,"$3,500",ind,det,home, 110-119,6:44,   0pt 1rb 2as 1st 1to 0-6fg,0,1,2,1,0,1,0
"Melton, De'Anthony",PG,6,"$3,500",mem,mia,away, 101-120,2:45,   0pt 2as 1st 0-2ft,0,0,2,1,0,0,0
"Lee, Courtney",SG,5.2,"$3,500",dal,was,home, 108-100,16:02,   4pt 1rb 2-5fg,4,1,0,0,0,0,0
"Ferguson, Terrance",SG,4.9,"$3,500",okc,uta,away, 95-100,23:51,   2pt 2rb 1as 1to 2-2ft,2,2,1,0,0,1,0
"Robinson, Duncan",SG,4.7,"$3,500",mia,mem,home, 120-101,22:56,   3pt 1rb 1as 1to 1trey 1-5fg,3,1,1,0,0,1,1
"Belinelli, Marco",SG,4.7,"$3,500",sas,nyk,home, 120-111,17:46,   3pt 1rb 1as 1to 1-2fg 1-2ft,3,1,1,0,0,1,0
"Edwards, Carsen",PG,4.2,"$3,600",bos,phi,away, 93-107,11:25,   3pt 1rb 1trey 1-5fg,3,1,0,0,0,0,1
"Ferrell, Yogi",PG,4.2,"$3,700",sac,pho,away, 95-124,3:59,   3pt 1rb 1trey 1-2fg,3,1,0,0,0,0,1
"Smith Jr., Dennis",PG,3.5,"$6,100",nyk,sas,away, 111-120,10:20,   2pt 1as 1-4fg,2,0,1,0,0,0,0
"Okobo, Elie",SG,3,"$3,500",pho,sac,home, 124-95,1:59,   3pt 1trey 1-1fg,3,0,0,0,0,0,1
"Frazier, Tim",PG,0,"$3,500",det,ind,away, 119-110,1:04,   0pt 0-1fg,0,0,0,0,0,0,0
"Harper, Jared",PG,0,"$3,500",pho,sac,home, 124-95,1:59,   0pt 0-1fg,0,0,0,0,0,0,0
